id,name,username,email,city,company,name_length,email_domain,city_upper
1,Leanne Graham,Bret,Sincere@april.biz,Gwenborough,Romaguera-Crona,13,april.biz,GWENBOROUGH
2,Ervin Howell,Antonette,Shanna@melissa.tv,Wisokyburgh,Deckow-Crist,12,melissa.tv,WISOKYBURGH
3,Clementine Bauch,Samantha,Nathan@yesenia.net,McKenziehaven,Romaguera-Jacobson,16,yesenia.net,MCKENZIEHAVEN
4,Patricia Lebsack,Karianne,Julianne.OConner@kory.org,South Elvis,Robel-Corkery,16,kory.org,SOUTH ELVIS
5,Chelsey Dietrich,Kamren,Lucio_Hettinger@annie.ca,Roscoeview,Keebler LLC,16,annie.ca,ROSCOEVIEW
6,Mrs. Dennis Schulist,Leopoldo_Corkery,Karley_Dach@jasper.info,South Christy,Considine-Lockman,20,jasper.info,SOUTH CHRISTY
7,Kurtis Weissnat,Elwyn.Skiles,Telly.Hoeger@billy.biz,Howemouth,Johns Group,15,billy.biz,HOWEMOUTH
8,Nicholas Runolfsdottir V,Maxime_Nienow,Sherwood@rosamond.me,Aliyaview,Abernathy Group,24,rosamond.me,ALIYAVIEW
9,Glenna Reichert,Delphine,Chaim_McDermott@dana.io,Bartholomebury,Yost and Sons,15,dana.io,BARTHOLOMEBURY
10,Clementina DuBuque,Moriah.Stanton,Rey.Padberg@karina.biz,Lebsackbury,Hoeger LLC,18,karina.biz,LEBSACKBURY
